Indeks_Saham,Kurs_USD_Rp,Inflasi
296.96,9066.5,6.26
294.06,9067.8,6.3
315.24,9163.952,6.52
344.96,9097.55,6.29
345.58,8844.333,6.01
356.85,8983.65,5.77
388.63,9067.136,6.06
368.15,9366.682,6.51
399.75,9309.9,6.95
463.05,9107.059,6.88
483.96,9264.273,6.71
493.01,9333.6,6.59
476.97,9406.35,7.36
508.95,9181.15,7.4
448.42,9182.947,8.17
428.09,9208.636,8.98
441.66,9290.8,10.38
430.29,9295.714,11.03
387.81,9154.455,11.9
356.1,9149.25,11.85
286.39,9340.65,12.14
193.68,10048.35,11.77
195.69,11711.15,11.68
216.19,11324.84,11.06
213.63,11167.21,9.17
214.12,11852.75,8.6
236.79,11849.55,7.92
279.87,11025.1,7.31
307.14,10392.65,6.04
321.46,10206.64,3.65
385.22,10111.33,2.71
380.65,9977.6,2.75
401.53,9900.722,2.83
383.67,9482.727,2.57
497.89,9469.95,2.41
417.18,9557.75,2.78
427.68,9275.45,3.72
413.73,9348.211,3.81
443.67,9173.727,3.43
474.8,9027.333,3.91
444.6,9183.211,4.16
460.26,9148.364,5.05
483.32,9049.455,6.22
473.79,8971.762,6.44
526.52,8975.842,5.8
540.29,8950.675,5.67
508.78,8938.381,6.33
532.9,9022.619,6.96
477.51,9037.381,7.02
496.87,8912.556,6.84
514.92,8761.478,6.65
529.76,8651.3,6.16
531.38,8555.8,5.98
536.04,8564,5.54
567.12,8533.238,4.61
529.16,8532,4.79
492.3,8765.5,4.61
530.19,8895.238,4.42
520.49,9015.182,4.14
537.03,9088.476,3.79
